unifiedcl,rvindicator,chkey,chunifiedkey
SM,No ,51721089,96936900
SP,No ,51721089,96936901
SP-SM,Yes,51721089,96936902
CH,No ,51721090,96936903
MH,Yes,51721090,96936904
CH,No ,51721091,96936905
MH,Yes,51721091,96936906
CH,No ,51721092,96936907
CL,No ,51721092,96936908
SC,Yes,51721092,96936909
SC-SM,No ,51721093,96936910
CL,Yes,51721093,96936911
SC,No ,51721093,96936912
CH,Yes,51721094,96936913
CL,No ,51721094,96936914
